Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (USD),Weight,Qty owned,Wanted,Value new (USD),Value used (USD)
ISBN9780756698126-1,Books,Dorling Kindersley,2012,LEGO Ninjago: Character Encyclopedia,1,5,,,0,,,
ISBN9780805094640-1,Books,Henry Holt & Company,2012,Amazing ABC,,,,,0,,,
ISBN9781468083996-1,Books,CreateSpace,2012,Brickdiction: A Seven Step Recovery Guide for People Addicted to LEGO,,,,,0,,,
ISBN9781470108014-1,Books,CreateSpace/Bartneck,2012,The 2011 LEGO Minifigure Catalog: 1st Edition,,,,,0,,,
ISBN9781470108076-1,Books,CreateSpace/Bartneck,2012,The Harry Potter LEGO Minifigure Catalog: 1st Edition,,,,,0,,,
ISBN9781470108106-1,Books,CreateSpace/Bartneck,2012,The Star Wars LEGO Minifigure Catalog: 1st Edition,,,,,0,,,
ISBN9781470113612-1,Books,CreateSpace/Bartneck,2012,The Complete LEGO Figure Catalog: 1st Edition,,,,,0,,,
ISBN9781593274122-1,Books,No Starch Press,2012,LEGO Heavy Weapons,,,,,0,,,
ISBN9781593274344-1,Books,No Starch Press,2012,The Unofficial LEGO Technic Builder's Guide,,,,,0,,,
ISBN9781593274412-1,Books,No Starch Press,2012,The Unofficial LEGO Builder's Guide 2nd edition,,,,,0,,,
ISBN9781593274429-1,Books,No Starch Press,2012,"The LEGO Adventure Book, Vol. 1: Cars, Castles, Dinosaurs & More!",,,,,0,,,
ISBN9781844681259-1,Books,Remember When,2012,Building a History: The LEGO Group,,,,,0,,,
ISBN9783868526585-1,Books,Heel-Verlag,2012,Build Your Own City: The Big Unofficial Lego Builders Book,,,,,0,,,
LCP2012-1,Marvel Super Heroes,Promotional,2012,Iron Man & Captain America (2012 Collectors Preview),2,7,,,0,,,
LOTRPC-1,Gear,Storage,2012,Lord Of The Rings Project Case,,,13.99,,0,,,
LYNNWOOD-1,Promotional,LEGO brand store opening set,2012,Lynnwood Exclusive Minifigure Pack,,,,,0,,311.13,
MANCHESTER-1,Promotional,LEGO brand store opening set,2012,"Manchester, UK, Exclusive Minifigure Pack",3,12,,,0,,128.33,
NINJAGODVD-1,Gear,Digital media,2012,LEGO Ninjago: Masters of Spinjitzu Season One DVD,,,14.97,,0,,,
OVERLANDPARK-1,Promotional,LEGO brand store opening set,2012,Overland Park Exclusive Minifigure Pack,3,15,,,0,,85,
PAB1-1,Promotional,LEGO brand stores,2012,Rabbit,,61,,,0,,,
PAB10-1,Promotional,LEGO brand stores,2012,Chef,,73,,,0,,,
PAB11-1,Promotional,LEGO brand stores,2012,Santa,,56,,,0,,,
PAB2-1,Promotional,LEGO brand stores,2012,Artist,,,,,0,,,
PAB3-1,Promotional,LEGO brand stores,2012,Royal Guard (Limited Edition PAB Model),,88,,,0,,,
PAB4-1,Promotional,LEGO brand stores,2012,Batman & Robin (Limited Edition PAB Model),,61,,,0,,,
PAB5-1,Promotional,LEGO brand stores,2012,Patriot,,66,,,0,,,
PAB6-1,Promotional,LEGO brand stores,2012,Zoo Keeper,,58,,,0,,,
PAB7-1,Promotional,LEGO brand stores,2012,Surfer,,67,,,0,,,
PAB8-1,Promotional,LEGO brand stores,2012,Pirate,,75,,,0,,,
PAB9-1,Promotional,LEGO brand stores,2012,Monster,,50,,,0,,,
PEABODY-1,Promotional,LEGO brand store opening set,2012,Northshore Mall Exclusive Minifigure Pack,3,15,,,0,,95.19,
SHEFFIELD-1,Promotional,LEGO brand store opening set,2012,"Sheffield, UK, Exclusive Minifigure Pack",3,14,,,0,,112.21,
STRATFORD-1,Promotional,LEGO brand store opening set,2012,"Westfield Stratford, UK Exclusive Minifigure Pack",3,14,,,0,,,
THESTIG-1,Gear,Key Chains/Miscellaneous,2012,Top Gear The Stig Key Chain,,,,,0,,,
TRU02-1,Friends,Promotional,2012,Lemonade Stand,,14,,,0,,,
TRUSHIELD-1,Promotional,Toys R Us,2012,Batman Shield,,257,,,0,,,
TRUSHIELD-2,Promotional,Toys R Us,2012,Superman Shield,,257,,,0,,,
WOODLANDS-1,Promotional,LEGO brand store opening set,2012,Woodlands Exclusive Minifigure Pack,,,,,0,,,
40061-1,Promotional,Monthly Mini Model Build,2013,Igloo,,40,0,,0,,16.72,
40062-1,Promotional,Monthly Mini Model Build,2013,Log Cabin,,59,0,,0,,15,9.63
40063-1,Promotional,Monthly Mini Model Build,2013,Sea Turtle,,29,0,,0,,10.61,3.4
40064-1,Promotional,Monthly Mini Model Build,2013,Lamb,,32,0,,0,,8.98,
40065-1,Promotional,Monthly Mini Model Build,2013,Kingfisher,,21,0,0.014,0,,6.31,3
40066-1,Promotional,Monthly Mini Model Build,2013,Fisherman,,37,0,,0,,6,4
40067-1,Promotional,Monthly Mini Model Build,2013,Crab,,37,0,,0,,12.14,8
40068-1,Promotional,Monthly Mini Model Build,2013,Flamingo,,31,0,,0,,19,6.49
40069-1,Promotional,Monthly Mini Model Build,2013,Pirate,,44,0,,0,,7.34,5
40070-1,Promotional,Monthly Mini Model Build,2013,Witch,,22,0,,0,,13.5,2
40071-1,Promotional,Monthly Mini Model Build,2013,Lawn Mower,,44,0,,0,,11.44,10.13
40072-1,Promotional,Monthly Mini Model Build,2013,Rocking Horse,,32,0,,0,,10.05,5
6031641-1,Legends of Chima,Promotional,2013,Lion tribe rip-cord and topper,,2,0,,0,,,
DESPERES-1,Promotional,LEGO brand store opening set,2013,"Des Peres, Exclusive Minifigure Pack",,16,0,,0,,161.96,
LILLE-1,Promotional,LEGO brand store opening set,2013,"Lille, France, Exclusive Minifigure Pack",3,2,0,,0,,67.66,
MUNICH-1,Promotional,LEGO brand store opening set,2013,"Munich Pasing, Germany, Exclusive Minifigure Pack",3,12,0,,0,,,
SANANTONIO-1,Promotional,LEGO brand store opening set,2013,"San Antonio, Tx, Exclusive Minifigure Pack",,16,0,,0,,58,
TORONTO-3,Promotional,LEGO brand store opening set,2013,"Yorkdale, Toronto, Canada Exclusive Minifigure Pack",3,16,0,,0,,150,
10662-1,Bricks and More,,2013,LEGO Creative Bucket,,607,29.99,1.01,0,,49.99,29.13
40053-1,Seasonal,Easter,2013,Easter Bunny with Basket,,96,4.99,,0,,18.93,5
10232-1,Creator Expert,Modular Buildings Collection,2013,Palace Cinema,6,2196,149.99,,0,,283.99,239.19
31005-1,Creator,3 in 1,2013,Construction Hauler,,256,17.99,0.34,0,,32.54,9.15
50004-1,Games,,2013,Story Mixer,,425,29.99,0.46,0,,,
40058-1,Seasonal,Christmas,2013,Decorating the Tree,2,110,7.99,,0,,19.14,14
75015-1,Star Wars,Episode II,2013,Corporate Alliance Tank Droid,3,271,19.99,0.27,0,,86.29,45.23
21106-1,Minecraft,Micro World,2013,The Nether,3,469,34.99,,0,,65.86,23.17
21105-1,Minecraft,Micro World,2013,The Village,3,466,34.99,,0,,64.6,27.29
10235-1,Creator Expert,Winter Village,2013,Winter Village Market,9,1261,99.99,,0,,175.41,190.44
21018-1,Architecture,Landmark Series,2013,United Nations Headquarters,,597,49.99,,0,Yes,145.36,79.38
31010-1,Creator,3 in 1,2013,Treehouse,1,356,29.99,0.74,0,,54.84,21.24
76004-1,Marvel Super Heroes,Ultimate Spider-Man,2013,Spider-Man: Spider-Cycle Chase,3,237,19.99,0.34,0,,36.96,18.64
42009-1,Technic,,2013,Mobile Crane MK II,,2606,219.99,4.21,0,,387.31,237.91
10237-1,The Lord of the Rings,The Two Towers,2013,Tower of Orthanc,5,2359,199.99,3.18,0,,430.72,389.73
31008-1,Creator,3 in 1,2013,Thunder Wings,,235,19.99,0.48,0,,36.65,9.13
79109-1,The Lone Ranger,,2013,Colby City Showdown,5,587,49.99,1.01,0,,100.62,62.1
79104-1,Teenage Mutant Ninja Turtles,TV Series,2013,The Shellraiser Street Chase,5,690,59.99,1.04,0,,59,
21103-1,Ideas,Licensed,2013,The DeLorean Time Machine,2,401,34.99,,0,,181.48,123.72
31006-1,Creator,3 in 1,2013,Highway Speedster,,286,24.99,0.51,0,,37.43,13.87
79014-1,The Hobbit,The Desolation of Smaug,2013,Dol Guldur Battle,8,797,69.99,1.18,0,,179.59,124.31
50011-1,Games,Licensed,2013,The Battle of Helms Deep,28,338,29.99,0.47,0,,,
31007-1,Creator,3 in 1,2013,Power Mech,,223,19.99,0.39,0,,25.84,12.75
75002-1,Star Wars,The Clone Wars,2013,AT-RT,4,222,19.99,0.28,0,,64.04,29.18
31004-1,Creator,3 in 1,2013,Fierce Flyer,,166,14.99,0.2,0,,26.55,8.78
60018-1,City,Great Vehicles,2013,Cement Mixer,2,221,19.99,0.39,0,,63.78,32.17
40052-1,Seasonal,Spring,2013,Springtime Scene,2,88,7.99,,0,,16.16,9.61
70707-1,Space,Galaxy Squad,2013,CLS-89 Eradicator Mech,2,440,39.99,0.68,0,,78.01,40.6
79007-1,The Lord of the Rings,The Return of the King,2013,Battle at the Black Gate,5,656,59.99,1.02,0,,255.5,191.89
70701-1,Space,Galaxy Squad,2013,Swarm Interceptor,2,218,19.99,0.33,0,,37.82,20.25
79011-1,The Hobbit,The Desolation of Smaug,2013,Dol Guldur Ambush,3,217,19.99,0.3,0,,50.36,32.51
31009-1,Creator,3 in 1,2013,Small Cottage,1,271,24.99,0.64,0,,38.03,23.08
30240-1,Star Wars,The Clone Wars,2013,Z-95 Headhunter,,54,4.99,,0,,5.34,3.1
40051-1,Seasonal,Valentine's Day,2013,Valentine's Day Heart Box,,54,4.99,,0,,21.94,9.86
31012-1,Creator,3 in 1,2013,Family House,2,756,69.99,1.59,0,,149.98,79.5
41013-1,Friends,,2013,Emma's Sports Car,1,159,14.99,0.18,0,,22.19,7.45
60017-1,City,Great Vehicles,2013,Flatbed Truck,2,212,19.99,0.39,0,,46.25,18.27
41008-1,Friends,,2013,Heartlake City Pool,2,423,39.99,0.78,0,,55.37,23.42
50006-1,Games,,2013,Legends of Chima,12,211,19.99,0.38,0,,20,
70501-1,Ninjago,The Final Battle,2013,Warrior Bike,2,210,19.99,0.35,0,,49.98,20.15
60025-1,City,Great Vehicles,2013,Grand Prix Truck,3,315,29.99,0.65,0,,81.11,27.46
70010-1,Legends of Chima,,2013,The Lion CHI Temple,7,1258,119.99,2.07,0,,182.51,84.04
60002-1,City,Fire,2013,Fire Truck,2,209,19.99,0.39,0,,43.43,15.67
70005-1,Legends of Chima,,2013,Laval's Royal Fighter,3,417,39.99,0.75,0,,46.87,18.25
40055-1,Seasonal,Halloween,2013,Halloween Pumpkin,,52,4.99,,0,,15.65,7.99
10233-1,Creator Expert,Trains,2013,Horizon Express,6,1351,129.99,1.82,0,,267.64,224.94
70702-1,Space,Galaxy Squad,2013,Warp Stinger,3,310,29.99,0.47,0,,39.49,25.38
70012-2,Legends of Chima,,2013,Razar's CHI Raider,3,412,39.99,0.06,0,,37.33,23.5
31011-1,Creator,3 in 1,2013,Aviation Adventures,,618,59.99,1.22,0,,70.96,37.33
75025-1,Star Wars,The Old Republic,2013,Jedi Defender-class Cruiser,4,927,89.99,,0,,253.43,242.16
70500-1,Ninjago,The Final Battle,2013,Kai's Fire Mech,2,102,9.99,0.13,0,,29.42,12.12
75011-1,Star Wars,Planet Set,2013,Tantive IV & Planet Alderaan,1,102,9.99,0.15,0,,40.83,22.93
70709-1,Space,Galaxy Squad,2013,Galactic Titan,5,1012,99.99,1.9,0,,224.95,142.24
10937-1,DC Comics Super Heroes,Batman,2013,Batman: Arkham Asylum Breakout,8,1619,159.99,,0,,205.61,183.46
70008-1,Legends of Chima,,2013,Gorzan's Gorilla Striker,4,505,49.99,0.91,0,,54.11,30.97
60027-1,City,Great Vehicles,2013,Monster Truck Transporter,3,299,29.99,0.6,0,,76.52,25.54
70404-1,Castle,,2013,King's Castle,7,996,99.99,2.11,0,,411.01,194.84
70401-1,Castle,,2013,Gold Getaway,3,199,19.99,0.34,0,,50.93,28.47
70003-1,Legends of Chima,,2013,Eris' Eagle Interceptor,3,348,34.99,0.54,0,,32.49,15.87
79105-1,Teenage Mutant Ninja Turtles,TV Series,2013,Baxter Robot Rampage,5,397,39.99,0.55,0,,57.89,40
41004-1,Friends,,2013,Rehearsal Stage,1,198,19.99,0.38,0,,26.19,9.14
76000-1,DC Comics Super Heroes,Batman,2013,Arctic Batman vs. Mr. Freeze: Aquaman on Ice,3,198,19.99,0.38,0,,29.37,16.22
70004-1,Legends of Chima,,2013,Wakz' Pack Tracker,3,297,29.99,0.58,0,,37.8,15.75
45100-1,Education,,2013,StoryStarter Core Set,,1147,115.95,2.35,0,,241.27,
10657-1,Bricks and More,,2013,My First LEGO Set,1,148,14.99,,0,,12.81,13.63
75013-1,Star Wars,The Clone Wars,2013,Umbaran MHC (Mobile Heavy Cannon),4,493,49.99,,0,,145.14,75.63
21015-1,Architecture,Landmark Series,2013,The Leaning Tower of Pisa,,345,34.99,0.47,0,,116.1,53.21
10655-1,Bricks and More,,2013,LEGO Monster Trucks,3,197,19.99,0.45,0,,28.32,21
42004-1,Technic,,2013,Mini Backhoe Loader,,246,24.99,,0,,55.61,23.47
75016-1,Star Wars,Episode II,2013,Homing Spider Droid,5,295,29.99,0.39,0,,100.74,59.83
66474-1,Legends of Chima, Product Collection,2013,LEGO Chima Super Pack,,1081,109.99,,0,,100,
30241-1,Star Wars,The Clone Wars,2013,Mandalorian Fighter,,49,4.99,,0,,16.62,1.27
42008-1,Technic,,2013,Service Truck,,1276,129.99,1.96,0,,244.34,121.69
75021-1,Star Wars,Episode II,2013,Republic Gunship,7,1175,119.99,2.01,0,,457.72,298.03
75017-1,Star Wars,Episode II,2013,Duel on Geonosis,4,391,39.99,0.6,0,,121,86.48
79103-1,Teenage Mutant Ninja Turtles,TV Series,2013,Turtle Lair Attack,6,488,49.99,0.84,0,,106.77,66.22
76006-1,Marvel Super Heroes,Iron Man 3,2013,Iron Man: Extremis Sea Port Battle ,3,195,19.99,0.35,0,,50.78,32.25
41005-1,Friends,,2013,Heartlake High,3,487,49.99,0.79,0,,113.82,32.16
31003-1,Creator,3 in 1,2013,Red Rotors,,145,14.99,0.21,0,,19.83,5.93
40059-1,Seasonal,Christmas,2013,Santa's Sleigh,2,77,7.99,,0,,24.61,13.5
60016-1,City,Great Vehicles,2013,Tanker Truck,1,191,19.99,0.41,0,,80.19,34.1
75000-1,Star Wars,Episode II,2013,Clone Troopers vs. Droidekas,4,124,12.99,0.14,0,,44.52,22.44
76005-1,Marvel Super Heroes,Ultimate Spider-Man,2013,Spider-Man: Daily Bugle Showdown,5,476,49.99,0.88,0,,100.33,62.14
70009-1,Legends of Chima,,2013,Worriz's Combat Lair,6,664,69.99,1.29,0,,78.46,47.75
60007-1,City,Police,2013,High Speed Chase,3,283,29.99,0.51,0,,37.32,14.08
41010-1,Friends,Summer,2013,Olivia's Beach Buggy,1,94,9.99,0.11,0,,10.66,4.31
79013-1,The Hobbit,The Desolation of Smaug,2013,Lake-town Chase,5,470,49.99,0.8,0,,142.08,101.03
10234-1,Creator Expert,Buildings,2013,Sydney Opera House,,2989,319.99,5.54,0,,379.12,257.8
850581-1,Friends,Accessories,2013,Friends Brick Calendar,,140,14.99,0.28,0,,,
41002-1,Friends,,2013,Emma's Karate Class,1,93,9.99,0.13,0,,15.68,6.36
79108-1,The Lone Ranger,,2013,Stagecoach Escape,5,279,29.99,0.44,0,,101.65,70.71
31000-1,Creator,3 in 1,2013,Mini Speeder,,65,6.99,0.1,0,,8.29,2.7
30225-1,City,Coast Guard,2013,Coast Guard Seaplane,1,37,3.99,,0,,4.88,2.86
70001-1,Legends of Chima,,2013,Crawley's Claw Ripper,2,139,14.99,0.24,0,,23.54,6.83
70014-1,Legends of Chima,,2013,The Croc Swamp Hideout,5,647,69.99,,0,,126.41,81.76
70011-1,Legends of Chima,Speedorz,2013,Eagles' Castle,3,369,39.99,,0,,22.4,20.91
41021-1,Friends,Animals series 2,2013,Poodle's Little Palace,,46,4.99,0.04,0,,4.53,3.55
40080-1,Friends,Accessories,2013,Friends Pencil Holder,,138,14.99,0.26,0,,,
70002-1,Legends of Chima,,2013,Lennox' Lion Attack,2,230,24.99,0.39,0,,24.33,10.89
79012-1,The Hobbit,The Desolation of Smaug,2013,Mirkwood Elf Army ,6,276,29.99,0.45,0,,118.28,80.66
76001-1,DC Comics Super Heroes,The Dark Knight Trilogy,2013,The Bat vs. Bane: Tumbler Chase,3,368,39.99,0.6,0,,64.53,37.26
79110-1,The Lone Ranger,,2013,Silver Mine Shootout,5,644,69.99,1.34,0,,116.94,88.89
76002-1,DC Comics Super Heroes,DC Extended Universe,2013,Superman Metropolis Showdown,2,119,12.99,0.14,0,,18.37,9.74
21017-1,Architecture,Architect Series,2013,Imperial Hotel,,1188,129.99,,0,Yes,180.16,148.91
76007-1,Marvel Super Heroes,Iron Man 3,2013,Iron Man: Malibu Mansion Attack,5,364,39.99,0.76,0,,94.25,50.89
70000-1,Legends of Chima,,2013,Razcal's Glider,1,109,11.99,0.11,0,,10.86,5.26
60023-1,City,Town,2013,LEGO City Starter Set,5,272,29.99,0.55,0,,46.53,22.04
75024-1,Star Wars,The Clone Wars,2013,HH-87 Starhopper,3,362,39.99,0.6,0,,85.07,50.14
75012-1,Star Wars,The Clone Wars,2013,BARC Speeder with Sidecar,4,226,24.99,,0,,242.18,153.74
30270-1,Teenage Mutant Ninja Turtles,TV Series,2013,Kraang's Turtle Target Practice ,1,36,3.99,,0,,5.43,2.37
30242-1,Star Wars,The Clone Wars,2013,Republic Frigate,,45,4.99,,0,,9.04,7
40057-1,Seasonal,Fall,2013,Fall Scene,3,72,7.99,,0,,18.41,10.98
10661-1,Bricks and More,,2013,My First LEGO Fire Station,1,90,9.99,0.16,0,,23.02,6.95
41001-1,Friends,,2013,Mia's Magic Tricks,1,90,9.99,0.13,0,,13.84,5.88
42006-1,Technic,,2013,Excavator,,720,79.99,,0,,158.26,71.61
70007-1,Legends of Chima,,2013,Eglor's Twin Bike,2,223,24.99,0.35,0,,27.99,13.23
70705-1,Space,Galaxy Squad,2013,Bug Obliterator,4,711,79.99,1.12,0,,72.35,45.97
31001-1,Creator,3 in 1,2013,Mini Skyflyer,,62,6.99,0.1,0,,8.13,3.47
75019-1,Star Wars,Episode II,2013,AT-TE ,5,794,89.99,0.99,0,,322.83,212.81
10656-1,Bricks and More,,2013,My First LEGO Princess,1,88,9.99,0.15,0,,13.77,8.77
42000-1,Technic,,2013,Grand Prix Racer,,1141,129.99,1.97,0,,231.62,94.26
41015-1,Friends,Summer,2013,Dolphin Cruiser,3,612,69.99,1.46,0,,159.95,39.93
60021-1,City,Cargo,2013,Cargo Heliplane,3,393,44.99,0.79,0,,84.68,31.37
79005-1,The Lord of the Rings,The Fellowship of the Ring,2013,The Wizard Battle,2,113,12.99,0.17,1,,53.9,31.86
50003-1,Games,Licensed,2013,Batman,8,257,29.99,0.55,0,,,
70502-1,Ninjago,The Final Battle,2013,Cole's Earth Driller,2,171,19.99,0.38,0,,50.87,15.19
70706-1,Space,Galaxy Squad,2013,Crater Creeper,2,171,19.99,0.29,0,,24.74,10.63
45560-1,Education,Mindstorms,2013,Education EV3 Expansion Set,,853,99.95,2.3,0,,116.3,137.76
75014-1,Star Wars,Episode V,2013,Battle of Hoth,7,426,49.99,,0,,149.71,86.24
42002-1,Technic,,2013,Hovercraft,,170,19.99,,0,,47.39,6.91
70013-1,Legends of Chima,,2013,Equila's Ultra Striker,3,339,39.99,,0,,26.14,19
75022-1,Star Wars,The Clone Wars,2013,Mandalorian Speeder,3,211,24.99,0.33,0,,127.78,61.04
20215-1,Master Builder Academy,,2013,Invention Designer,3,675,79.99,,0,,84.99,85
41006-1,Friends,,2013,Downtown Bakery,2,253,29.99,0.49,0,,41.81,18.4
70704-1,Space,Galaxy Squad,2013,Vermin Vaporizer,3,506,59.99,0.91,0,,70.79,44.67
76009-1,DC Comics Super Heroes,DC Extended Universe,2013,Superman: Black Zero Escape,3,168,19.99,0.3,0,,23.84,17.7
70503-1,Ninjago,The Final Battle,2013,The Golden Dragon,3,252,29.99,0.44,0,,90.58,31.52
76003-1,DC Comics Super Heroes,DC Extended Universe,2013,Superman: Battle of Smallville,5,418,49.99,0.69,0,,44.1,26.55
75010-1,Star Wars,Planet Set,2013,B-Wing Starfighter & Planet Endor,1,83,9.99,0.13,0,,30.17,15.6
44014-1,HERO Factory,Brain Attack,2013,JET ROCKA,,290,34.99,0.6,0,,58.25,24.82
30250-1,Legends of Chima,,2013,Ewar's Acro Fighter,1,33,3.99,,0,,4.51,2.09
70402-1,Castle,,2013,The Gatehouse Raid,4,248,29.99,0.5,0,,114.65,52.65
41017-1,Friends,Animals series 1,2013,Squirrel's Tree House,,41,4.99,0.05,0,,7.15,4.76
70115-1,Legends of Chima,Speedorz,2013,Ultimate Speedor Tournament,2,246,29.99,0.41,0,,35,16.45
70504-1,Ninjago,The Final Battle,2013,Garmatron,3,328,39.99,0.71,0,,87.94,50.06
60024-1,City,Seasonal,2013,City Advent Calendar,8,244,29.99,0.38,0,,31.7,15.96
79102-1,Teenage Mutant Ninja Turtles,TV Series,2013,Stealth Shell in Pursuit,3,162,19.99,0.29,0,,35.33,15.57
79006-1,The Lord of the Rings,The Fellowship of the Ring,2013,The Council of Elrond,4,243,29.99,0.49,0,,95.91,68.05
70505-1,Ninjago,The Final Battle,2013,Temple of Light,5,565,69.99,1.04,0,,120.19,67.76
31002-1,Creator,3 in 1,2013,Super Racer,,121,14.99,0.22,0,,16.8,2.46
41007-1,Friends,,2013,Heartlake Pet Salon,2,242,29.99,0.57,0,,37.55,15.59
79107-1,The Lone Ranger,,2013,Comanche Camp,3,161,19.99,0.25,0,,41.58,32.06
60008-1,City,Police,2013,Museum Break-in,6,563,69.99,1.14,0,,110.52,43.75
60020-1,City,Cargo,2013,Cargo Truck,3,321,39.99,0.57,0,,63.23,31.12
30166-1,DC Comics Super Heroes,Batman,2013,Robin and Redbird Cycle,1,40,4.99,,0,,17.09,9.93
40054-1,Seasonal,Summer,2013,Summer Scene,1,40,4.99,,0,,19.52,13.49
41011-1,Friends,,2013,Stephanie's Soccer Practice,1,80,9.99,0.12,0,,21.2,4.47
42010-1,Technic,,2013,Off-road Racer,,160,19.99,0.3,0,,50.97,10.85
70708-1,Space,Galaxy Squad,2013,Hive Crawler,3,560,69.99,0.85,0,,82.61,61.35
20214-1,Master Builder Academy,,2013,Adventure Designer,,638,79.99,,0,,109,70
10236-1,Star Wars,Ultimate Collector Series,2013,Ewok Village,17,1990,249.99,3.15,0,,458.97,420.55
41999-1,Technic,,2013,4x4 Crawler Exclusive Edition ,,1585,199.99,,0,,440.96,369.79
79101-1,Teenage Mutant Ninja Turtles,TV Series,2013,Shredder's Dragon Bike,3,198,24.99,0.3,0,,44.04,21.34
42011-1,Technic,,2013,Race Car,,158,19.99,0.28,0,,38.15,13.88
75018-1,Star Wars,Original Content,2013,JEK-14's Stealth Starfighter,4,550,69.99,0.93,0,,139.23,66.5
41025-1,Friends,Animals series 3,2013,Puppy's Playhouse,,39,4.99,0.05,0,,4.18,3.14
10240-1,Star Wars,Ultimate Collector Series,2013,Red Five X-wing Starfighter,1,1559,199.99,2.32,0,,374.38,297.6
70703-1,Space,Galaxy Squad,2013,Star Slicer,3,311,39.99,,0,,60,36
30231-1,Space,Galaxy Squad,2013,Space Insectoid,1,27,3.49,,0,,6.14,6.75
42001-1,Technic,,2013,Mini Off-Roader,,100,12.99,,0,,17.28,6.36
20216-1,Master Builder Academy,,2013,Robot & Micro Designer,,383,49.99,,0,,85.45,53.51
60026-1,City,Town,2013,Town Square,9,914,119.99,1.8,0,,160.24,114.78
70006-1,Legends of Chima,,2013,Cragger's Command Ship,6,609,79.99,1.38,0,,98.55,46.12
21050-1,Architecture,Miscellaneous,2013,Architecture Studio,,1210,159.99,2.72,1,,375.89,204.17
79008-1,The Lord of the Rings,The Return of the King,2013,Pirate Ship Ambush,9,756,99.99,1.46,0,,242.81,202.31
60003-1,City,Fire,2013,Fire Emergency,3,301,39.99,0.6,0,,37.29,14.78
70403-1,Castle,,2013,Dragon Mountain,5,376,49.99,0.77,0,,158.95,83.54
60004-1,City,Fire,2013,Fire Station,5,752,99.99,1.9,0,,130.81,62.38
41009-1,Friends,,2013,Andrea's Bedroom,1,75,9.99,0.11,0,,16.73,5.61
70400-1,Castle,,2013,Forest Ambush,4,90,11.99,0.1,0,,35.27,20.07
75004-1,Star Wars,The Clone Wars,2013,Z-95 Headhunter,3,373,49.99,0.64,0,,128.97,83.56
44009-1,HERO Factory,Brain Attack,2013,DRAGON BOLT,,149,19.99,0.26,0,,81.39,15.89
41022-1,Friends,Animals series 2,2013,Bunny's Hutch,,37,4.99,0.04,0,,6.34,3.45
75007-1,Star Wars,Planet Set,2013,Republic Assault Ship & Planet Coruscant,1,74,9.99,0.15,0,,29.86,16.29
60005-1,City,Fire,2013,Fire Boat,4,222,29.99,,0,,57.98,26.51
60006-1,City,Police,2013,Police ATV,2,51,6.99,0.07,0,,8.58,2.97
20217-1,Master Builder Academy,,2013,Action Designer,,576,79.99,,0,,97.71,90.07
70700-1,Space,Galaxy Squad,2013,Space Swarmer,2,86,11.99,0.11,0,,20.28,10.88
41016-1,Friends,Seasonal,2013,Friends Advent Calendar,2,213,29.99,0.36,0,,26.23,10
75020-1,Star Wars,Episode VI,2013,Jabba's Sail Barge,6,850,119.99,1.4,0,,291.72,212.94
75003-1,Star Wars,Episode VI,2013,A-wing Starfighter,3,177,24.99,0.34,0,,51.95,28.21
70102-1,Legends of Chima,Speedorz,2013,CHI Waterfall,1,106,14.99,0.22,0,,3.93,4
60009-1,City,Police,2013,Helicopter Arrest,5,352,49.99,0.84,0,,67.8,42.89
30230-1,Space,Galaxy Squad,2013,Mini Mech,1,28,3.99,,0,,5.02,2.75
41023-1,Friends,Animals series 3,2013,Fawn's Forest,,35,4.99,0.04,0,,5.97,3.63
41003-1,Friends,,2013,Olivia's Newborn Foal,1,70,9.99,0.12,0,,16.96,5.34
76008-1,Marvel Super Heroes,Iron Man 3,2013,Iron Man vs. The Mandarin: Ultimate Showdown,2,91,12.99,0.13,0,,35.83,21.35
70108-1,Legends of Chima,Speedorz,2013,Royal Roost,1,105,14.99,0.21,0,,21.61,6.64
70112-1,Legends of Chima,Speedorz,2013,Croc Chomp,1,105,14.99,0.23,0,,14.44,9.22
60019-1,City,Airport,2013,Stunt Plane,2,140,19.99,0.24,0,,29.59,8.5
79111-1,The Lone Ranger,,2013,Constitution Train Chase,7,699,99.99,0.98,0,,213.61,176.15
79100-1,Teenage Mutant Ninja Turtles,TV Series,2013,Kraang Lab Escape,2,90,12.99,0.12,0,,38.16,20.47
75009-1,Star Wars,Planet Set,2013,Snowspeeder & Planet Hoth,1,69,9.99,0.13,0,,48.65,31.16
30106-1,Friends,,2013,Ice Cream Stand,1,34,4.99,0.03,0,,5.7,3.56
41020-1,Friends,Animals series 2,2013,Hedgehog's Hideaway,,34,4.99,0.04,0,,5.88,4.03
850751-1,Miscellaneous,Photo frames,2013,Orlando Picture Frame,,102,14.99,,0,,,
70101-1,Legends of Chima,Speedorz,2013,Target Practice,1,101,14.99,0.21,0,,3.93,3.97
70106-1,Legends of Chima,Speedorz,2013,Ice Tower,1,101,14.99,0.22,0,,5.75,3.71
60001-1,City,Fire,2013,Fire Chief Car,2,80,11.99,0.14,0,,15.64,5.63
41019-1,Friends,Animals series 1,2013,Turtle's Little Oasis,,33,4.99,0.04,0,,6.55,3.04
42005-1,Technic,,2013,Monster Truck,,329,49.99,,0,,85.37,27.78
60022-1,City,Cargo,2013,Cargo Terminal,5,658,99.99,1.81,0,,232.81,106.85
70105-1,Legends of Chima,Speedorz,2013,Nest Dive,1,97,14.99,0.21,0,,9.2,7.06
70107-1,Legends of Chima,Speedorz,2013,Skunk Attack,1,97,14.99,0.2,0,,11.92,6.9
